10 20 115
1 11 2 11
1 11 3 11
1 11 4 11
1 11 5 11
1 11 6 11
1 11 7 11
1 11 8 11
1 11 9 11
1 11 10 11
2 11 3 11
2 11 4 11
2 11 5 11
2 11 6 11
2 11 7 11
2 11 8 11
2 11 9 11
2 11 10 11
3 11 4 11
3 11 5 11
3 11 6 11
3 11 7 11
3 11 8 11
3 11 9 11
3 11 10 11
4 11 5 11
4 11 6 11
4 11 7 11
4 11 8 11
4 11 9 11
4 11 10 11
5 11 6 11
5 11 7 11
5 11 8 11
5 11 9 11
5 11 10 11
6 11 7 11
6 11 8 11
6 11 9 11
6 11 10 11
7 11 8 11
7 11 9 11
7 11 10 11
8 11 9 11
8 11 10 11
9 11 10 11
4 7 1 11
4 7 2 11
4 7 3 11
4 7 5 6
4 7 6 11
4 7 7 10
4 7 8 11
4 7 9 3
4 7 10 7
5 6 1 11
5 6 2 11
5 6 3 11
5 6 6 11
5 6 7 10
5 6 8 11
5 6 9 3
5 6 10 7
7 10 1 11
7 10 2 11
7 10 3 11
7 10 6 11
7 10 8 11
7 10 9 3
7 10 10 7
9 3 1 11
9 3 2 11
9 3 3 11
9 3 6 11
9 3 8 11
9 3 10 7
10 7 1 11
10 7 2 11
10 7 3 11
10 7 6 11
10 7 8 11
1 18 3 12
1 18 4 11
1 18 5 16
1 18 6 11
1 18 7 16
1 18 8 12
1 18 9 16
1 18 10 18
3 12 4 11
3 12 5 16
3 12 6 11
3 12 7 16
3 12 8 12
3 12 9 16
3 12 10 18
5 16 4 11
5 16 6 11
5 16 7 16
5 16 8 12
5 16 9 16
5 16 10 18
7 16 4 11
7 16 6 11
7 16 8 12
7 16 9 16
7 16 10 18
8 12 4 11
8 12 6 11
8 12 9 16
8 12 10 18
9 16 4 11
9 16 6 11
9 16 10 18
10 18 4 11
10 18 6 11
